texto,ministro,link,dia_publicacao,pandemia,morte_publicacao,atualizacao_casos,noticia_falsa,recomendacao_publicacao,situacao_atual,tipo_publicacao,origem_publicacao,"publico_alvo
"
"minsaude
Verificado
🇧🇷O Governo do Brasil continua atuando fortemente no enfrentamento ao coronavírus. O Ministério da Saúde acaba de finalizar a capacitação dos Laboratórios Centrais de Saúde Pública (LACEN) dos 26 estados e do Distrito Federal🔬🥼. Com essa ação, os laboratórios estão aptos a realizarem exames para o covid-19. Leia mais sobre essa notícia, acessando: http://bit.ly/33r7wuc",mandetta,https://www.instagram.com/p/B96odaGATbI/,19/03,sim,nao,nao,nao,nao,nao,arte,ms,geral
"minsaude
Verificado
Coronavírus | Orientações de higiene para as pessoas com deficiência

Muitos já compreendem a importância da etiqueta de higiene para prevenir doenças como a causada pelo #Coronavírus, por exemplo. Além dos cuidados usuais, pessoas com deficiência devem ter atenção redobrada. As mãos que são usadas para a comunicação ou até para a locomoção (como na cadeira de rodas ou na bengala, por exemplo). Órteses, próteses, andadores: os equipamentos de uso pessoal também precisam ser higienizados! Pensando nisso, o @min_direitoshumanos fez este vídeo com orientações de higiene para esse público tão específico.

Veja o vídeo com a secretária nacional dos Direitos da Pessoa com Deficiência, Priscilla Gaspar.

Para saber mais sobre coronavírus, acesse saude.gov.br/coronavirus

#COVID19 ---------- #PraCegoVer: filme como uma tela com fundo azul. Ao centro, está a secretária da SNDPD, Priscilla Gaspar, que apresenta as informações em Libras. Ela veste roupa social.",mandetta,https://www.instagram.com/p/B97PHlGA3lP/,19/03,sim,nao,nao,nao,sim,nao,video,ms,geral
"minsaude
Verificado
🔬“Este é o ano dos laboratórios, pois eles fazem parte do sistema nervoso do sistema de vigilância em saúde. Vamos revitalizar os laboratórios, com mais automação, mais possibilidades de garantir resultados eficientes e precisos” garantiu o secretário de Vigilância em Saúde, Wanderson Oliveira, no encerramento da capacitação dos 27 Laboratórios Centrais de Saúde Pública (LACENs) para realização de testes de #coronavírus. Assim, todos os estados e o Distrito Federal estão aptos a fazer o exame.
O @governodobrasil não mede esforços para fortalecer o Brasil no enfrentamento ao #coronavírus
Saiba mais em saude.gov.br",mandetta,https://www.instagram.com/p/B97ibkWg1DT/,19/03,sim,nao,nao,nao,nao,nao,foto,ms,geral
"minsaude
Verificado
O Brasil 🇧🇷 unindo forças contra o #coronavírus. O @governodobrasil abriu o cadastro para voluntários que queiram se inscrever na Força Nacional do SUS.
O banco de voluntários, de diversas especialidades, será organizado pelo @minsaude, para atuarem na prevenção e combate ao #coronavírus.
Os interessados devem se cadastrar no site. Acesse o link da bio e busque por Força Nacional do SUS abre cadastro para voluntários.
#SUS #ForçaNacionaldoSUS",mandetta,https://www.instagram.com/p/B970wa_A-fD/,19/03,sim,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
O envolvimento de todos é importante para o Brasil controlar o #coronavírus. Por isso, é fundamental seguir as orientações do Ministério da Saúde para isolamento, sobretudo idosos e pessoas com sintomas de gripe.

Saiba mais em saude.gov.br/coronavirus

#COVID19 #FicaEmCasa",mandetta,https://www.instagram.com/p/B9761PBga_O/,19/03,sim,nao,nao,nao,sim,nao,arte,ms,Idosos
"minsaude
Verificado
Enquanto muitos podem e devem ficar em isolamento nas próprias casas, outros têm seu dever dobrado, como os profissionais de saúde, que agem na linha de frente contra o #coronavírus, cuidando da saúde de todos os brasileiros.
Você provavelmente já viu uma foto como essa. Este é o recado especial da Kelly, Daniella, Francisco, Joacirene, Olga, Katia, Cristina, Ana Claudia e Adriano, que fazem parte equipe do Hospital Universitário Francisca Mendes (Manaus/AM). Eles pedem que todos cumpram as orientações e fiquem em casa. Sabe por que isso é tão importante? Quanto mais as pessoas circulam nas ruas, mais o vírus circula também.
Se você e sua equipe fazem parte deste grupo de heróis, mande sua foto por inbox para a gente. O Ministério da Saúde faz questão de homenagear vocês.
Fica aqui o nosso muito obrigado!",mandetta,https://www.instagram.com/p/B99lFc4AYQO/,20/03,sim,nao,nao,nao,sim,nao,arte | foto,ms,geral
"minsaude
Verificado
O avanço do #coronavírus impõe a todos nós mais cuidado com a nossa saúde e também das pessoas que convivem conosco! Veja o recado do ministro @henriquemandetta se você tiver sintomas de gripe.",mandetta,https://www.instagram.com/p/B992bRdgzoU/,20/03,sim,nao,nao,nao,sim,sim,video,ms,geral
"minsaude
Verificado
Já falamos sobre as melhores formas de se prevenir contra o #coronavírus. Agora, uma dica para todos: como cuidar da saúde enquanto estamos em casa?

#FiquemEmCasa o máximo possível. E, para manter a saúde, sigam essas dicas.",mandetta,https://www.instagram.com/p/B9_kTttgfMN/,21/03,sim,nao,nao,nao,sim,nao,arte,ms,geral
"minsaude
Verificado
Quem tem mais de 60 anos deve ficar em casa, mesmo sem sintomas. Os demais, evitem circulação nas ruas. Proteja você e sua família! #coronavirus #covid19.",mandetta,https://www.instagram.com/p/B9_oNrYg4hj/,21/03,sim,nao,nao,nao,sim,nao,video,ms,Idosos
"minsaude
Verificado
Lixos abertos com acúmulo de água são locais de proliferação do mosquito Aedes aegypti, que causa dengue, chikungunya e zika. #CombataOMosquito

Saiba mais em saude.gov.br/combateaedes",mandetta,https://www.instagram.com/p/B9__1Vxg8ja/,21/03,nao,nao,nao,nao,sim,nao,arte,ms,geral
